Name, Website, Pubs
Xiaodi Wu 0001, https://www.cs.umd.edu/~xwu, 1
Ting Wang 0006, https://alps-lab.github.io/, 25
Nick Nikiforakis, https://www.cs.stonybrook.edu/people/faculty/NickNikiforakis, 14
Michalis Polychronakis, https://www3.cs.stonybrook.edu/~mikepo, 8
Dongyoon Lee, https://www3.cs.stonybrook.edu/~dongyoon, 7
Omar Chowdhury, https://www.cs.stonybrook.edu/people/faculty/OmarChowdhury, 5
Amir Rahmati, https://amir.rahmati.com/, 5
Radu Sion, https://www.cs.stonybrook.edu/people/faculty/RaduSion, 5
R. Sekar 0001, http://seclab.cs.sunysb.edu/sekar, 4
Shubham Jain, https://www3.cs.stonybrook.edu/~jain, 3
Michael Ferdman, http://compas.cs.stonybrook.edu/~mferdman, 1
Arie E. Kaufman, http://www3.cs.stonybrook.edu/~ari, 1
Scott A. Smolka, http://www3.cs.stonybrook.edu/~sas, 1
Scott D. Stoller, http://www3.cs.stonybrook.edu/~stoller, 1
Nicolas Christin, http://www.andrew.cmu.edu/user/nicolasc, 9
Riccardo Paccagnella, https://www.cs.cmu.edu/~rpaccagn, 9
Bryan Parno, https://www.cylab.cmu.edu/education/faculty/parno.html, 7
Elaine Shi, http://elaineshi.com/, 7
Vyas Sekar, https://users.ece.cmu.edu/~vsekar, 6
Yuvraj Agarwal, http://www.synergylabs.org/yuvraj, 5
Wenting Zheng, https://wzheng.github.io/, 5
Lujo Bauer, http://www.ece.cmu.edu/~lbauer, 4
Lorrie Faith Cranor, http://lorrie.cranor.org/, 4
Matt Fredrikson, http://www.cs.cmu.edu/~mfredrik, 2
Claire Le Goues, https://clairelegoues.com/, 2
Bogdan Vasilescu, http://bvasiles.github.io/, 2
Alessandro Acquisti, http://www.heinz.cmu.edu/~acquisti, 1
Anupam Datta, http://www.andrew.cmu.edu/user/danupam, 1
Jodi Forlizzi, https://www.hcii.cmu.edu/people/jodi-forlizzi, 1
Virgil D. Gligor, https://users.ece.cmu.edu/~virgil, 1
Vipul Goyal, https://www.cs.cmu.edu/~goyal, 1
Jason I. Hong, http://www.cs.cmu.edu/~jasonh, 1
Daphne Ippolito, https://www.daphnei.com/, 1
Swarun Kumar, https://swarunkumar.com/, 1
Graham Neubig, http://www.phontron.com/, 1
Rohan Padhye, https://rohan.padhye.org/, 1
Norman M. Sadeh, http://www.normsadeh.org/, 1
Adam Doupé, http://adamdoupe.com/, 25
Yan Shoshitaishvili, http://www.yancomm.net/, 22
Ruoyu Wang 0001, https://ruoyuwang.me/, 17
Tiffany Bao, https://www.tiffanybao.com/, 16
Gail-Joon Ahn, http://www.public.asu.edu/~gahn1, 10
Xusheng Xiao, https://xusheng-xiao.github.io/, 9
Adil Ahmad, https://adil-ahmad.net/, 5
Deliang Fan, https://dfan.engineering.asu.edu/, 3
Jedidiah R. Crandall, https://www.cs.unm.edu/~crandall, 2
Rakibul Hasan 0001, https://rakib062.github.io/, 2
Ni Trieu, https://nitrieu.github.io/, 2
Neil Zhenqiang Gong, http://people.duke.edu/~zg70, 22
Michael K. Reiter, https://reitermk.github.io/, 13
Kartik Nayak, https://users.cs.duke.edu/~kartik, 10
Pardis Emami Naeini, http://www.cs.duke.edu/~pe48, 6
Danfeng Zhang, https://users.cs.duke.edu/~dz132, 6
Yiran Chen 0001, https://ece.duke.edu/faculty/yiran-chen, 1
Hai Li 0001, http://cei.pratt.duke.edu/people/hai-li, 1
Bruce M. Maggs, https://users.cs.duke.edu/~bmm, 1
Miroslav Pajic, http://people.duke.edu/~mp275, 1
Xiaowei Yang 0001, https://users.cs.duke.edu/~xwy, 1
Danyang Zhuo, https://danyangzhuo.com/, 1
Kang G. Shin, http://web.eecs.umich.edu/~kgshin, 11
Roya Ensafi, https://ensa.fi/, 10
J. Alex Halderman, https://jhalderm.com/, 9
Z. Morley Mao, http://web.eecs.umich.edu/~zmao, 7
Ang Chen 0001, https://web.eecs.umich.edu/~chenang, 6
Paul Grubbs, https://paulgrubbs.net/, 6
Florian Schaub, https://www.si.umich.edu/people/florian-schaub, 6
Jiasi Chen, https://jiasi.engin.umich.edu/, 3
Atul Prakash 0001, http://web.eecs.umich.edu/~aprakash, 3
Mingyan Liu, http://web.eecs.umich.edu/~mingyan, 2
Satish Narayanasamy, http://web.eecs.umich.edu/~nsatish, 2
Todd M. Austin, http://web.eecs.umich.edu/~taustin, 1
Peter M. Chen, https://eecs.engin.umich.edu/people/chen-peter-m, 1
Ronald G. Dreslinski, https://web.eecs.umich.edu/~rdreslin, 1
Jean-Baptiste Jeannin, http://www-personal.umich.edu/~jeannin, 1
Chris Peikert, http://web.eecs.umich.edu/~cpeikert, 1
Thomas F. Wenisch, https://web.eecs.umich.edu/~twenisch, 1
Tech, https://tech.cornell.edu/, 23
Tech, https://tech.cornell.edu/, 13
Tech, https://tech.cornell.edu/, 8
Tech, https://tech.cornell.edu/, 8
G. Edward Suh, http://www.csl.cornell.edu/~suh, 6
Andrew C. Myers, http://www.cs.cornell.edu/andru, 4
Rachit Agarwal 0001, http://www.cs.cornell.edu/~ragarwal, 3
Nate Foster, http://www.cs.cornell.edu/~jnfoster, 1
Justin Hsu, https://justinh.su/, 1
Tech, https://tech.cornell.edu/, 1
Tech, https://tech.cornell.edu/, 1
Rachee Singh, https://www.racheesingh.com/, 1
Florian Kerschbaum, https://cs.uwaterloo.ca/~fkerschb, 16
Yousra Aafer, https://cs.uwaterloo.ca/~yaafer, 13
N. Asokan, https://cs.uwaterloo.ca/about/people/n-asokan, 5
Ian Goldberg, https://cs.uwaterloo.ca/~iang, 5
Meng Xu 0001, https://cs.uwaterloo.ca/~m285xu, 4
Diogo Barradas, https://cs.uwaterloo.ca/~dbarrada, 3
Sergey Gorbunov 0001, https://cs.uwaterloo.ca/~sgorbuno, 3
Urs Hengartner, https://cs.uwaterloo.ca/~uhengart, 2
Douglas Stebila, https://www.douglas.stebila.ca/, 2
Sihang Liu 0001, https://www.sihangliu.com/, 1
Sujaya Maiyya, https://cs.uwaterloo.ca/~smaiyya, 1
Zhiyun Qian, http://www.cs.ucr.edu/~zhiyunq, 30
Trent Jaeger, http://www.trentjaeger.com/, 9
Heng Yin 0001, http://www.cs.ucr.edu/~heng, 9
Nael B. Abu-Ghazaleh, http://www.cs.ucr.edu/~nael, 7
Emiliano De Cristofaro, https://profiles.ucr.edu/app/home/profile/emiliand, 7
Chengyu Song, https://www.cs.ucr.edu/~csong, 7
Srikanth V. Krishnamurthy, http://www.cs.ucr.edu/~krish, 4
Shaolei Ren, http://www.ece.ucr.edu/~sren, 1
Silas Richelson, http://people.csail.mit.edu/sirichel, 1
Manu Sridharan, https://manu.sridharan.net/, 1
Dawn Song, https://www2.eecs.berkeley.edu/Faculty/Homepages/song.html, 23
Raluca A. Popa, http://www.eecs.berkeley.edu/~raluca, 19
Sanjam Garg, http://www.cs.berkeley.edu/~sanjamg, 6
Vern Paxson, http://www.icir.org/vern, 5
David A. Wagner 0001, http://www.cs.berkeley.edu/~daw, 5
Ion Stoica, http://www.cs.berkeley.edu/~istoica, 4
Koushik Sen, http://www.eecs.berkeley.edu/Faculty/Homepages/ksen.html, 2
Shafi Goldwasser, https://www2.eecs.berkeley.edu/Faculty/Homepages/goldwasser.html, 1
Joseph Gonzalez 0001, http://www.cs.berkeley.edu/~jegonzal, 1
Joseph M. Hellerstein, http://citris-uc.org/person/professor-joseph-hellerstein, 1
Michael I. Jordan, http://www.cs.berkeley.edu/~jordan, 1
James F. O'Brien, http://obrien.berkeley.edu/, 1
Sylvia Ratnasamy, http://www.eecs.berkeley.edu/~sylvia, 1
Sanjit A. Seshia, https://people.eecs.berkeley.edu/~sseshia, 1
Martin J. Wainwright, https://www.eecs.berkeley.edu/~wainwrig, 1
Matei Zaharia, https://people.eecs.berkeley.edu/~matei, 1
Ahmad-Reza Sadeghi, https://www.trust.informatik.tu-darmstadt.de/people/ahmad-reza-sadeghi, 22
Sebastian Faust, http://www.sebastian-faust.net/, 8
Michael Waidner, https://www.sit.informatik.tu-darmstadt.de/de/security-in-information-technology/staff/michael-waidner, 8
Matthias Hollick, https://www.seemoo.tu-darmstadt.de/team/matthias-hollick, 7
Thomas Schneider 0003, https://www.thomaschneider.de/, 7
Marc Fischlin, https://www.cryptoplexity.informatik.tu-darmstadt.de/members/marcfischlin/marcfischlin.en.jsp, 3
Jean Paul Degabriele, https://degabriele.info/, 2
Stefan Katzenbeisser 0001, http://www.seceng.informatik.tu-darmstadt.de/people/katzenbeisser, 2
Max Mühlhäuser, https://www.informatik.tu-darmstadt.de/fb20/organisation_fb20/studiendekanat/studiendekanat_detailseite_46656.en.jsp, 2
Rahul Chatterjee 0001, https://pages.cs.wisc.edu/~chatterjee, 16
Kassem Fawaz, https://kassemfawaz.com/, 13
Somesh Jha, http://pages.cs.wisc.edu/~jha, 13
Chaowei Xiao, https://xiaocw11.github.io/, 7
Patrick D. McDaniel, http://www.patrickmcdaniel.org/, 6
Younghyun Kim 0001, https://wisest.ece.wisc.edu/staff/kim-younghyun, 3
Michael M. Swift, http://pages.cs.wisc.edu/~swift, 3
Ethan Cecchetti, https://ethan.umiacs.io/, 2
Yuhang Zhao 0001, https://www.yuhangz.com/, 2
Aws Albarghouthi, http://pages.cs.wisc.edu/~aws, 1
Andrea C. Arpaci-Dusseau, http://pages.cs.wisc.edu/~dusseau, 1
Paul Barford, http://pages.cs.wisc.edu/~pb, 1
Tej Chajed, https://www.chajed.io/, 1
Yong Jae Lee, https://pages.cs.wisc.edu/~yongjaelee, 1
Parameswaran Ramanathan, https://ramanathan.ece.wisc.edu/, 1
Prateek Saxena, https://www.comp.nus.edu.sg/~prateeks, 12
Zhenkai Liang, https://www.comp.nus.edu.sg/~liangzk, 6
Reza Shokri, https://www.comp.nus.edu.sg/~reza, 6
Jin Song Dong, https://www.comp.nus.edu.sg/~dongjs, 5
Abhik Roychoudhury, https://www.comp.nus.edu.sg/~abhik, 5
Jiaheng Zhang, https://zjhzjh123.github.io/, 5
Xiaokui Xiao, http://www.comp.nus.edu.sg/~xiaoxk, 4
Haifeng Yu, https://www.comp.nus.edu.sg/~yuhf, 3
Trevor E. Carlson, https://www.comp.nus.edu.sg/~tcarlson, 2
Mun Choon Chan, https://www.comp.nus.edu.sg/~chanmc, 2
Ee-Chien Chang, https://www.comp.nus.edu.sg/~changec, 2
Aquinas Hobor, https://www.comp.nus.edu.sg/~hobor, 2
Bryan Hooi, https://www.comp.nus.edu.sg/~bhooi, 2
Divesh Aggarwal, https://sites.google.com/site/diveshhomepage, 1
Tat-Seng Chua, http://www.comp.nus.edu.sg/~chuats, 1
Ilya Sergey, https://www.yale-nus.edu.sg/about/faculty/ilya-sergey, 1
Terence Sim, https://www.comp.nus.edu.sg/~tsim, 1
Prashant Nalini Vasudevan, https://www.comp.nus.edu.sg/~prashant, 1
Mathias Payer, https://nebelwelt.net/, 31
Carmela Troncoso, http://carmelatroncoso.com/, 10
